band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
2171.20083,2010,F,BLU,111,114,51,92,20.5,2010-06-11,SL59,6,1,5,6,SL
2171.20084,2010,M,BLU,116,119,56,92,20.4,2010-06-12,SL07,7,1,4,4,SL
2171.20084,2011,M,BLU,115,117,52,94,20,2011-06-13,SL07,7,1,6,7,SL
2171.20084,2012,M,BLU,115,118,56,93,19.7,2012-06-04,SL03,6,1,5,5,SL
2171.20086,2011,F,BLU,111,113,53,89,19.1,2011-06-17,SL05,7,1,6,6,SL
2171.20091,2010,M,BLU,123,124,55,98,20.1,2010-06-12,SL58,5,1,5,5,SL
2171.20092,2010,F,BLU,112,115,61,89,21.8,2010-06-12,SL57,5,1,4,5,SL
2171.20093,2012,F,BLU,112,115,55,93,16.8,2012-05-30,SL40,4,1,0,4,SL
2171.20095,2011,M,BLU,116,121,60,95,20.7,2011-06-17,SL43,4,1,0,1,SL
2171.20098,2010,F,BLU,118,120,56,94,22,2010-06-11,SL23,7,1,6,6,SL
2171.20098,2011,F,BLU,116,118,57,94,20.6,2011-06-17,SL23,6,1,2,2,SL
2171.20098,2012,F,BLU,115,116,59,92,19.7,2012-06-04,SL33,6,1,5,6,SL
2181.58453,2010,F,BLU,110.5,112,55,89,20.53,2010-06-08,SL77,6,1,6,6,SL
2181.58453,2011,F,BLU,109,112,55,87,19.5,2011-06-05,SL77,5,1,5,5,SL
2181.58453,2012,F,BLU,110,112,52,89,21,2012-06-08,SL77,6,1,6,6,SL
2181.78083,2010,M,BLU,121,123,58,94,22.25,2018-06-01,PT07J,5,1,5,5,PT
2181.78083,2011,M,BLU,118,122,58,91,22.2,2011-06-21,PT07J,6,1,5,6,PT
2181.78083,2012,M,BLU,118,124,55,95,21.4,2012-06-02,PT07J,6,1,6,6,PT
2181.78203,2011,M,BLU,121,125,58,96,20.9,2011-06-19,PT06J,6,1,5,5,PT
2181.78261,2010,M,BLU,129,130,45,98,22,2015-06-01,PT13J,6,1,1,3,PT
2181.78261,2011,M,BLU,122,124,57,97,22.31,2011-06-14,PT13J,6,1,3,4,PT
2181.78261,2011,M,BLU,121,124,57,94,19.7,2011-06-17,PT13J,6,1,3,4,PT
2181.78261,2012,M,BLU,123,126,58,98,21.77,2012-06-04,PT13J,7,1,6,6,PT
