band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
B,2401.7806,M,BLU,116,118,57,95,21.16,2011-06-14,PT3J,AHY,2011
B,2401.78061,F,BLU,116,118,53,92,24.18,2011-06-14,PT13J,ASY,2011
B,2401.78062,F,BLU,110,112,54,88,20.06,2011-06-14,PT11I,ASY,2011
R,2311.93805,F,BLU,113,116,56,88,22.85,2011-06-14,PT9J,ASY,2011
B,2401.78063,F,INT,118,120,59,93,20.07,2011-06-14,PT16I,AHY,2011
R,2181.78261,M,BLU,122,124,57,97,22.31,2011-06-14,PT13J,AHY,2011
R,2171.20031,M,BLU,116,118,56,90,20.26,2011-06-14,PT9J,AHY,2011
R,2401.78058,F,INT,116,118,59,92,21.02,2011-06-14,PT16I,AHY,2011
R,2351.37106,M,BLU,122,124,61,95,20.71,2011-06-14,PT11I,AHY,2011
R,2351.39716,F,BLU,112,114,55,90,20.07,2011-06-14,PT8G,ASY,2011
R,2311.9366,F,BLU,114,116,55,87,21.22,2011-06-14,PT14G,ASY,2011
R,2401.79845,M,BLU,118,120,60,92,21.57,2011-06-14,PT14G,AHY,2011
R,1831.39084,F,BLU,115,117,56,92,22.55,2011-06-14,PT11G,ASY,2011
R,1881.06295,M,BLU,123,125,57,98,21.34,2011-06-14,PT11G,AHY,2011
R,2221.72068,M,BLU,118,120,56,92,21.16,2011-06-14,PT18E,AHY,2011
R,1831.38421,F,BLU,120,122,60,96,20.85,2011-06-14,PT18E,ASY,2011
B,2401.78064,F,BLU,110,112,53,86,20.71,2011-06-14,PT4G,ASY,2011
R,2351.37285,M,BLU,119,121,57,94,20.78,2011-06-14,PT4G,AHY,2011
R,1881.0652,F,BLU,116,118,55,93,19.92,2011-06-15,PT4F,ASY,2011
R,1881.06441,M,BLU,122,124,60,98,22.14,2011-06-15,PT4F,AHY,2011
B,2401.78065,M,BLU,114,117,54,91,19.2,2011-06-15,PT1J,AHY,2011
R,2311.9375,F,BLU,115,117,57,93,19.2,2011-06-16,PT15I,ASY,2011
R,1831.38571,F,BLU,114,118,58,88,21,2011-06-16,PT14H,ASY,2011
B,2401.78066,M,BLU,116,119,56,90,18.9,2011-06-16,PT14H,AHY,2011
R,2351.39709,F,INT,116,118,57,91,20.8,2011-06-16,PT10H,AHY,2011
R,2351.37106,M,BLU,118,121,60,92,18.9,2011-06-16,PT10I,AHY,2011
R,2171.20052,F,BLU,111,113,56,88,16.5,2011-06-16,PT13I,ASY,2011
R,2351.37008,F,BLU,117,119,54,92,19.7,2011-06-16,PT9G,ASY,2011
B,2401.78067,M,BLU,114,117,56,90,18.8,2011-06-16,PT10H,AHY,2011
R,2311.93868,M,BLU,115,120,52,90,19.4,2011-06-16,PT15I,AHY,2011
R,2171.20058,M,BLU,116,118,55,91,19,2011-06-16,PT13I,AHY,2011
B,2401.78068,F,INT,110,113,54,85,18.5,2011-06-17,PT12G,AHY,2011
R,2311.9366,F,BLU,112,115,53,86,19.3,2011-06-17,PT14G,ASY,2011
R,2181.78261,M,BLU,121,124,57,94,19.7,2011-06-17,PT13J,AHY,2011
R,2311.9362,M,BLU,117,119,56,92,19.1,2011-06-17,PT12G,AHY,2011
R,1831.39074,M,BLU,118,122,55,92,20.2,2011-06-17,PT5J,AHY,2011
R,2351.39899,M,BLU,114,117,56,91,17,2011-06-17,PT8G,AHY,2011
R,2401.79845,M,BLU,116,119,56,90,19.2,2011-06-17,PT14G,AHY,2011
R,2351.37015,F,BLU,117,119,55,92,19.4,2011-06-17,PT9K,ASY,2011
R,2351.39714,M,BLU,119,122,57,95,20,2011-06-17,PT9K,AHY,2011
B,2401.78069,F,BLU,112,117,56,88,18.5,2011-06-17,PT18G,ASY,2011
R,2351.37012,F,BLU,113,116,54,91,20.5,2011-06-17,PT15F,ASY,2011
B,2401.7807,F,BLU,106,109,51,85,18.1,2011-06-17,PT18G,ASY,2011
R,2171.20014,M,BLU,118,121,53,95,19.8,2011-06-17,PT16H,AHY,2011
